adduser	3.152
apt	3.0.3
base-files	13.8+deb13u6
base-passwd	3.6.7
bash	5.2.37-2+b9
bsdutils	1:2.41.5-0+deb13u1
ca-certificates	20250419
coreutils	9.7-3
cron	3.0pl1-197
cron-daemon-common	3.0pl1-197
curl	8.14.1-2+deb13u5
dash	0.5.12-12
debconf	1.5.91
debian-archive-keyring	2025.1
debianutils	5.23.2
diffutils	1:3.10-4
dpkg	1.22.22
findutils	4.10.0-3
gcc-14-base:amd64	14.2.0-19
git	1:2.47.3-0+deb13u1
git-man	1:2.47.3-0+deb13u1
grep	3.11-4
gzip	1.13-1
hostname	3.25
init-system-helpers	1.69~deb13u1
libacl1:amd64	2.3.2-2+b1
libapparmor1:amd64	4.1.0-1
libapt-pkg7.0:amd64	3.0.3
libattr1:amd64	1:2.5.2-3
libaudit-common	1:4.0.2-2
libaudit1:amd64	1:4.0.2-2+b2
libblkid1:amd64	2.41.5-0+deb13u1
libbrotli1:amd64	1.1.0-2+b7
libbsd0:amd64	0.12.2-2
libbz2-1.0:amd64	1.0.8-6
libc-bin	2.41-12+deb13u3
libc6:amd64	2.41-12+deb13u3
libcap-ng0:amd64	0.8.5-4+b1
libcap2:amd64	1:2.75-10+deb13u1+b1
libcom-err2:amd64	1.47.2-3+b12
libcrypt1:amd64	1:4.4.38-1
libcurl3t64-gnutls:amd64	8.14.1-2+deb13u5
libcurl4t64:amd64	8.14.1-2+deb13u5
libdb5.3t64:amd64	5.3.28+dfsg2-9
libdbi-perl:amd64	1.652-2~deb13u1
libdebconfclient0:amd64	0.280
libecap3:amd64	1.0.1-4
liberror-perl	0.17030-1
libexpat1:amd64	2.8.3-1~deb13u1
libffi8:amd64	3.4.8-2
libgcc-s1:amd64	14.2.0-19
libgdbm-compat4t64:amd64	1.24-2
libgdbm6t64:amd64	1.24-2
libgmp10:amd64	2:6.3.0+dfsg-3
libgnutls30t64:amd64	3.8.9-3+deb13u4
libgssapi-krb5-2:amd64	1.21.3-5+deb13u1
libhogweed6t64:amd64	3.10.1-1
libidn2-0:amd64	2.3.8-2
libk5crypto3:amd64	1.21.3-5+deb13u1
libkeyutils1:amd64	1.6.3-6
libkrb5-3:amd64	1.21.3-5+deb13u1
libkrb5support0:amd64	1.21.3-5+deb13u1
liblastlog2-2:amd64	2.41.5-0+deb13u1
libldap2:amd64	2.6.10+dfsg-1
libltdl7:amd64	2.5.4-4
liblz4-1:amd64	1.10.0-4
liblzma5:amd64	5.8.1-1+deb13u1
libmd0:amd64	1.1.0-2+b1
libmnl0:amd64	1.0.5-3
libmount1:amd64	2.41.5-0+deb13u1
libncursesw6:amd64	6.5+20250216-2
libnetfilter-conntrack3:amd64	1.1.0-1
libnettle8t64:amd64	3.10.1-1
libnfnetlink0:amd64	1.0.2-3
libnghttp2-14:amd64	1.64.0-1.1+deb13u1
libnghttp3-9:amd64	1.8.0-1
libngtcp2-16:amd64	1.11.0-1+deb13u1
libngtcp2-crypto-gnutls8:amd64	1.11.0-1+deb13u1
libp11-kit0:amd64	0.25.5-3
libpam-modules:amd64	1.7.0-5
libpam-modules-bin	1.7.0-5
libpam-runtime	1.7.0-5
libpam0g:amd64	1.7.0-5
libpcre2-8-0:amd64	10.46-1~deb13u1
libperl5.40:amd64	5.40.1-6+deb13u1
libpopt0:amd64	1.19+dfsg-2
libproc2-0:amd64	2:4.0.4-9
libpsl5t64:amd64	0.21.2-1.1+b1
libreadline8t64:amd64	8.2-6
librtmp1:amd64	2.4+20151223.gitfa8646d.1-2+b5
libsasl2-2:amd64	2.1.28+dfsg1-9
libsasl2-modules-db:amd64	2.1.28+dfsg1-9
libseccomp2:amd64	2.6.0-2
libselinux1:amd64	3.8.1-1
libsemanage-common	3.8.1-1
libsemanage2:amd64	3.8.1-1
libsepol2:amd64	3.8.1-1
libsmartcols1:amd64	2.41.5-0+deb13u1
libsqlite3-0:amd64	3.46.1-7+deb13u1
libssh2-1t64:amd64	1.11.1-1+deb13u2
libssl3t64:amd64	3.5.7-1~deb13u2
libstdc++6:amd64	14.2.0-19
libsystemd-shared:amd64	257.13-1~deb13u1
libsystemd0:amd64	257.13-1~deb13u1
libtasn1-6:amd64	4.20.0-2+deb13u1
libtdb1:amd64	2:1.4.13+samba4.22.11+dfsg-0+deb13u1
libtinfo6:amd64	6.5+20250216-2
libudev1:amd64	257.13-1~deb13u1
libunistring5:amd64	1.3-2
libuuid1:amd64	2.41.5-0+deb13u1
libwrap0:amd64	7.6.q-36
libxxhash0:amd64	0.8.3-2
libzstd1:amd64	1.5.7+dfsg-1
login	1:4.16.0-2+really2.41.5-0+deb13u1
login.defs	1:4.17.4-2
logrotate	3.22.0-1
mawk	1.3.4.20250131-1
mount	2.41.5-0+deb13u1
ncurses-base	6.5+20250216-2
ncurses-bin	6.5+20250216-2
netbase	6.5
openssl	3.5.7-1~deb13u2
openssl-provider-legacy	3.5.7-1~deb13u2
passwd	1:4.17.4-2
perl	5.40.1-6+deb13u1
perl-base	5.40.1-6+deb13u1
perl-modules-5.40	5.40.1-6+deb13u1
procps	2:4.0.4-9
readline-common	8.2-6
sed	4.9-2+deb13u1
sensible-utils	0.0.25
socat	1.8.0.3-1+deb13u1
squid	6.13-2+deb13u3
squid-common	6.13-2+deb13u3
squid-langpack	20220130-1
sqv	1.3.0-3+b2
systemd	257.13-1~deb13u1
sysvinit-utils	3.14-4
tar	1.35+dfsg-3.1
tzdata	2026b-0+deb13u1
util-linux	2.41.5-0+deb13u1
zlib1g:amd64	1:1.3.dfsg+really1.3.1-1+b1
